level,name,Total population_2018,Population under age 18_2018,Percent under age 18_2018,Population ages 18+_2018,Percent ages 18+_2018,Population ages 65+_2018,Percent ages 65+_2018,Latino population_2018,Percent Latino_2018,White population_2018,Percent white_2018,Black population_2018,Percent black_2018,Other race population_2018,Percent other race_2018,Foreign-born population_2018,Percent foreign-born_2018,Total households_2018,Owner-occupied households_2018,Homeownership rate_2018,Cost-burdened households_2018,Cost-burden rate_2018,Poverty status known_2018,Population in poverty_2018,Poverty rate_2018,Low-income population_2018,Low-income rate_2018,"Under 18, poverty status known_2018",Children in poverty_2018,Child poverty rate_2018,Low-income children_2018,Child low-income rate_2018,"Ages 65+, poverty status known_2018",Seniors in poverty_2018,Senior poverty rate_2018,Low-income seniors_2018,Senior low-income rate_2018,Life expectancy in years_2010-2015,Annual checkup rate (adults)_2017,Annual dental visit rate (adults)_2016,"Ages 18-64, no health insurance_2017",Current smoking rate (adults)_2017,Percent adults sleeping under 7 hours daily_2016,Percent adults with coronary heart disease_2017,Current asthma rate (adults)_2017,Diabetes rate (adults)_2017,Percent adults with high blood pressure_2017
state,Connecticut,3581504,752625,0.21,2828879,0.79,587580,0.16,561791,0.16,2418696,0.68,351817,0.1,249200,0.07,513646,0.14,1367374,907134,0.66,484571,0.36,3474901,348449,0.1,796272,0.23,743194,100097,0.13,222157,0.3,566635,41393,0.07,124153,0.22,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,Fairfield County,944348,216907,0.23,727441,0.77,143419,0.15,182653,0.19,588974,0.62,99412,0.11,73309,0.08,205009,0.22,340491,229169,0.67,133355,0.4,926505,81751,0.09,195066,0.21,214231,23468,0.11,55825,0.26,138765,10076,0.07,27656,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,Bridgeport,146417,34463,0.24,111954,0.76,15638,0.11,58534,0.4,29730,0.2,48114,0.33,10039,0.07,43767,0.3,50547,21114,0.42,26100,0.53,141785,30316,0.21,64379,0.45,33883,10299,0.3,20919,0.62,15058,2058,0.14,5723,0.38,77.7,0.69,0.61,0.19,0.18,0.4,0.05,0.11,0.11,0.3
neighborhood,Black Rock,9055,1390,0.15,7665,0.85,1196,0.13,2256,0.25,4655,0.51,1492,0.16,652,0.07,2128,0.24,4105,1518,0.37,1692,0.42,9055,1525,0.17,2787,0.31,1390,333,0.24,752,0.54,1196,161,0.13,306,0.26,80.4,0.68,0.7,0.15,0.16,0.36,0.05,0.1,0.08,0.26
neighborhood,Brooklawn-St. Vincent,25436,5507,0.22,19929,0.78,3144,0.12,8191,0.32,7101,0.28,7965,0.31,2177,0.09,9331,0.37,8955,4124,0.46,4832,0.56,24400,3999,0.16,9660,0.4,5445,1381,0.25,3146,0.58,3007,184,0.06,965,0.32,79.3,0.69,0.63,0.18,0.18,0.4,0.05,0.11,0.1,0.28
neighborhood,Downtown,2187,184,0.08,2003,0.92,449,0.21,919,0.42,410,0.19,677,0.31,182,0.08,469,0.21,1222,36,0.03,523,0.43,1877,567,0.3,1140,0.61,172,40,0.23,124,0.72,448,142,0.32,399,0.89,73.4,0.71,0.57,0.18,0.18,0.41,0.07,0.11,0.13,0.33
neighborhood,East End,9409,2914,0.31,6495,0.69,712,0.08,3848,0.41,433,0.05,4533,0.48,595,0.06,2048,0.22,3036,976,0.32,1628,0.56,9387,2341,0.25,5503,0.59,2914,963,0.33,2166,0.74,712,116,0.16,369,0.52,76.3,0.72,0.55,0.21,0.2,0.44,0.06,0.12,0.13,0.35
neighborhood,East Side,14035,4045,0.29,9990,0.71,1046,0.07,8677,0.62,574,0.04,4118,0.29,667,0.05,3190,0.23,4449,1071,0.24,2608,0.61,13907,4193,0.3,8356,0.6,3996,1567,0.39,2808,0.7,1049,236,0.22,530,0.51,75.9,0.68,0.51,0.27,0.2,0.42,0.06,0.11,0.13,0.3
neighborhood,Enterprise,635,182,0.29,453,0.71,61,0.1,179,0.28,103,0.16,315,0.5,36,0.06,234,0.37,229,77,0.34,144,0.64,632,103,0.16,305,0.48,181,40,0.22,116,0.64,64,3,0.05,29,0.45,76,0.68,0.59,0.21,0.2,0.42,0.05,0.11,0.11,0.29
neighborhood,Hollow,9045,2476,0.27,6569,0.73,431,0.05,4465,0.49,1253,0.14,2968,0.33,358,0.04,3508,0.39,3007,367,0.12,1691,0.57,9024,3314,0.37,5667,0.63,2458,1373,0.56,1957,0.8,432,113,0.26,194,0.45,75.8,0.66,0.47,0.27,0.24,0.43,0.06,0.12,0.12,0.3
neighborhood,Mill Hill,12448,2793,0.22,9655,0.78,1663,0.13,5892,0.47,1609,0.13,4135,0.33,811,0.07,3256,0.26,4759,1975,0.42,2513,0.54,12073,2318,0.19,5575,0.46,2717,670,0.25,1689,0.62,1524,286,0.19,716,0.47,76.3,0.71,0.6,0.19,0.18,0.41,0.06,0.11,0.12,0.33
neighborhood,North End,22502,4440,0.2,18062,0.8,2959,0.13,6156,0.27,8797,0.39,6339,0.28,1215,0.05,7317,0.33,7493,5349,0.71,3208,0.44,21051,2172,0.1,5338,0.25,4217,499,0.12,1490,0.35,2907,187,0.06,544,0.19,79.1,0.7,0.71,0.14,0.15,0.37,0.05,0.1,0.09,0.28
